Wall time,Step,Value
1764636572.7832515,49,7.413110256195068
1764636593.0461435,99,5.863989353179932
1764636610.6508532,149,4.976440906524658
1764636628.2712245,199,4.418624401092529
1764636646.4825516,249,4.3484392166137695
1764636664.4762058,299,4.801966667175293
1764636684.7697117,349,7.384893417358398
1764636701.6682048,399,4.071475505828857
1764636718.211902,449,4.220877170562744
1764636734.0196943,499,8.010831832885742
1764636749.350433,549,3.7758145332336426
1764636764.6988232,599,6.916153907775879
1764636780.5181515,649,3.973174571990967
1764636795.884043,699,6.273289680480957
1764636811.2265823,749,3.740355968475342
1764636826.8425655,799,3.8321404457092285
1764636842.3264174,849,5.937289237976074
1764636858.053427,899,3.855100631713867
1764636873.5075397,949,6.6886701583862305
1764636888.8243215,999,3.806565761566162
1764637084.2893133,1049,7.143420219421387
1764637104.101681,1099,3.717266082763672
1764637126.4604573,1149,3.6613502502441406
1764637147.5457945,1199,3.941572666168213
1764637164.264898,1249,3.871140480041504
1764637179.4609413,1299,6.962346076965332
1764637194.8669112,1349,3.9468986988067627
1764637210.5967782,1399,4.025691032409668
1764637226.3572657,1449,6.076772689819336
1764637242.0043356,1499,5.877687454223633
1764637258.0884047,1549,3.717191696166992
1764637274.0334063,1599,9.082538604736328
1764637289.51174,1649,3.8940603733062744
1764637304.7092535,1699,6.1526384353637695
1764637320.455417,1749,3.756150007247925
1764637336.4937954,1799,3.8488330841064453
1764637352.0000947,1849,3.8183045387268066
1764637367.2698593,1899,3.762761116027832
1764637383.432642,1949,3.904238224029541
1764637398.9279525,1999,3.5670294761657715
1764637611.2340288,2049,6.269685745239258
1764637626.843376,2099,3.8016233444213867
1764637642.1508894,2149,6.307308673858643
1764637657.7096975,2199,3.8187146186828613
1764637673.2991362,2249,3.877962827682495
1764637688.6256213,2299,3.7250866889953613
1764637704.4219923,2349,3.823575019836426
1764637719.66924,2399,3.733339309692383
1764637735.0930116,2449,3.7822604179382324
1764637750.7626066,2499,3.841417074203491
1764637766.746344,2549,3.7254910469055176
1764637782.4235563,2599,4.078521251678467
1764637797.635457,2649,3.9411938190460205
1764637813.018939,2699,6.435670852661133
1764637828.2833958,2749,6.801370620727539
1764637843.260784,2799,4.200647354125977
1764637858.6436174,2849,3.691946029663086
1764637876.6390483,2899,3.736171007156372
1764637894.1469774,2949,6.358776092529297
1764637910.1313431,2999,3.706974506378174
1764638106.5208702,3049,3.729902744293213
1764638121.7652817,3099,4.055470943450928
1764638137.5375056,3149,3.801088333129883
1764638153.5558517,3199,6.156287670135498
1764638169.9814193,3249,3.773919105529785
1764638186.3227813,3299,3.8032984733581543
1764638201.7951345,3349,6.115359306335449
1764638218.371369,3399,7.504871368408203
1764638234.0187907,3449,3.7843027114868164
1764638250.6021276,3499,3.7749242782592773
1764638267.4386282,3549,3.9588215351104736
1764638284.644488,3599,3.7975072860717773
1764638305.1261547,3649,3.7416326999664307
1764638326.2903285,3699,4.288907051086426
1764638347.3023243,3749,3.632877826690674
1764638365.3410566,3799,3.7461180686950684
1764638385.851784,3849,4.04793643951416
1764638406.1563306,3899,3.694363594055176
1764638426.0994618,3949,3.97993540763855
1764638442.8976247,3999,3.8005881309509277
1764638626.9298236,4049,3.8847572803497314
1764638642.0714064,4099,3.8514182567596436
1764638658.2836213,4149,3.8110666275024414
1764638673.6944265,4199,3.8504390716552734
1764638688.9923315,4249,6.5104570388793945
1764638705.0197349,4299,3.6010308265686035
1764638720.314227,4349,4.110610008239746
1764638735.657258,4399,3.921102285385132
1764638756.6299481,4449,4.128381729125977
1764638776.3941998,4499,6.8293657302856445
1764638794.1380491,4549,5.866247177124023
1764638811.9500456,4599,4.280065059661865
1764638828.8951628,4649,4.13762092590332
1764638846.6689851,4699,4.188369274139404
1764638868.4667752,4749,3.7816662788391113
1764638885.1492045,4799,6.328692436218262
1764638901.8133266,4849,3.5734000205993652
1764638917.2259781,4899,4.110822677612305
1764638933.6143541,4949,7.480740547180176
1764638950.4096253,4999,3.62737774848938
1764639125.4797106,5049,7.377414703369141
1764639142.435081,5099,3.7245001792907715
1764639159.3646257,5149,6.572072982788086
1764639176.433571,5199,6.308071136474609
1764639197.6139863,5249,3.953869342803955
1764639216.4703896,5299,4.0727081298828125
1764639235.1044838,5349,3.697214126586914
1764639253.214918,5399,3.6205949783325195
1764639272.1329353,5449,3.8259353637695312
1764639289.625882,5499,3.677135467529297
1764639307.2400863,5549,3.711761474609375
1764639323.9536972,5599,3.592283010482788
1764639340.8902214,5649,4.038856506347656
1764639357.352725,5699,3.565274953842163
1764639373.5237074,5749,9.363840103149414
1764639389.424542,5799,5.327899932861328
1764639405.5776396,5849,4.025758743286133
1764639421.5792582,5899,3.8500351905822754
1764639437.2300897,5949,3.9551596641540527
1764639453.3156793,5999,3.9452571868896484
1764639636.925898,6049,3.793635606765747
1764639653.0792875,6099,3.8450686931610107
1764639669.9201777,6149,3.7025694847106934
1764639687.59049,6199,3.8131959438323975
1764639705.1108708,6249,3.96250057220459
1764639722.0787861,6299,4.000121116638184
1764639739.361256,6349,3.780043125152588
1764639755.5121527,6399,7.817759990692139
1764639771.4768016,6449,3.8674426078796387
1764639787.350545,6499,3.797126531600952
1764639803.2246244,6549,4.033235549926758
1764639819.309997,6599,3.8049230575561523
1764639835.8955812,6649,6.881261348724365
1764639852.3093448,6699,3.72383975982666
1764639867.9547899,6749,3.9709415435791016
1764639883.4167218,6799,3.788936138153076
1764639902.347525,6849,3.861677646636963
1764639917.7107775,6899,6.359617233276367
1764639933.4608824,6949,3.643108606338501
1764639948.9034977,6999,6.832711219787598
1764640145.2544737,7049,11.3250093460083
1764640161.422963,7099,11.415301322937012
1764640178.0053313,7149,3.702589988708496
1764640193.4694557,7199,3.7272467613220215
1764640209.6194072,7249,6.002228736877441
1764640225.230003,7299,4.003640174865723
1764640240.9405768,7349,3.8124163150787354
1764640256.6589017,7399,3.635932445526123
1764640272.1671586,7449,4.4964399337768555
1764640288.31549,7499,3.5900309085845947
1764640303.690869,7549,3.8213086128234863
1764640319.8421192,7599,3.5383663177490234
1764640335.8506258,7649,6.76584529876709
1764640351.3833423,7699,3.9413232803344727
1764640366.7756402,7749,3.728572368621826
1764640382.1309865,7799,4.800026893615723
1764640397.4058564,7849,3.9619038105010986
1764640413.0184128,7899,3.7742762565612793
1764640429.256278,7949,7.153968334197998
1764640445.6176176,7999,6.043815612792969
1764640671.6295867,8049,5.947766304016113
1764640687.2746136,8099,3.6486449241638184
1764640703.4424646,8149,6.5768208503723145
1764640719.0596862,8199,3.929544448852539
1764640734.6721337,8249,3.9278807640075684
1764640750.408869,8299,7.273497104644775
1764640765.525662,8349,3.4573287963867188
1764640780.2771266,8399,5.138934135437012
1764640797.8439853,8449,3.721808910369873
1764640814.3802571,8499,6.0245466232299805
1764640829.4989321,8549,3.745105743408203
1764640845.3260624,8599,6.8101301193237305
1764640860.4762223,8649,3.831995964050293
1764640875.5993307,8699,6.183709144592285
1764640892.2488482,8749,6.257917881011963
1764640907.7276661,8799,7.091000080108643
1764640922.9668858,8849,3.775890827178955
1764640939.6136513,8899,7.024469375610352
1764640957.5032847,8949,3.752957344055176
1764640976.3656852,8999,7.078097820281982
1764641198.1982222,9049,3.700211524963379
1764641213.3396885,9099,7.243088245391846
1764641229.424885,9149,5.628243446350098
1764641244.715725,9199,4.377750396728516
1764641260.4637005,9249,3.8757667541503906
1764641276.6084893,9299,6.213716506958008
1764641292.4611769,9349,4.301187515258789
1764641307.0787694,9399,4.932090759277344
1764641321.7765336,9449,3.678009033203125
1764641337.4495778,9499,9.614724159240723
1764641353.0775125,9549,3.74943208694458
1764641368.9622078,9599,6.6871137619018555
1764641390.2670853,9649,3.8902382850646973
1764641409.902046,9699,4.223343849182129
1764641429.38828,9749,6.516805648803711
1764641451.0438957,9799,6.648039817810059
1764641468.0217462,9849,3.8362722396850586
1764641486.1917598,9899,3.8164620399475098
1764641505.293675,9949,4.010171413421631
1764641521.047141,9999,4.034548282623291
1764641703.6195698,10049,3.7636919021606445
1764641718.7096548,10099,3.8383889198303223
1764641734.4884775,10149,4.682955741882324
1764641749.6291044,10199,3.7093701362609863
1764641765.0725398,10249,3.7715306282043457
1764641780.2532074,10299,3.694629669189453
1764641795.5226722,10349,3.800313949584961
1764641810.887867,10399,8.514450073242188
1764641826.6645522,10449,3.806739330291748
1764641847.0809677,10499,9.613354682922363
1764641864.7833118,10549,8.674863815307617
1764641881.4817102,10599,6.537949085235596
1764641905.4458075,10649,3.549320697784424
